timestamp,ph,turbidity,tds,temp,score,anomaly
2026-04-10 09:58:26,7.57,25.34,1221.34,27.41,4.1034,0
2026-04-10 09:58:28,7.53,31.25,1159.42,26.58,3.9258,0
2026-04-10 09:58:30,7.84,33.09,1194.22,27.3,3.3430,0
2026-04-10 09:58:32,8.0,36.42,1256.35,28.22,4.8607,0
2026-04-10 09:58:34,7.68,32.07,1050.27,26.4,4.2824,0
2026-04-10 09:58:36,7.77,39.62,1225.82,27.38,4.3823,0
2026-04-10 09:58:38,8.02,33.89,1152.09,25.2,5.0181,0
2026-04-10 09:58:40,8.3,29.96,1351.17,25.68,5.7349,0
2026-04-10 09:58:42,7.81,27.59,1114.94,27.78,3.8295,0
2026-04-10 09:58:44,7.56,25.8,1317.99,27.09,4.3439,0
2026-04-10 09:58:46,7.87,24.06,1242.36,26.45,4.1150,0
2026-04-10 09:58:48,8.2,28.37,1411.72,26.73,5.2722,0
2026-04-10 09:58:50,7.85,24.69,1249.92,27.97,4.1946,0
2026-04-10 09:58:52,7.7,27.25,1177.89,26.6,3.6040,0
2026-04-10 09:58:54,7.86,24.31,1202.1,27.24,3.7181,0
2026-04-10 09:58:56,7.97,35.19,1298.77,27.17,4.2399,0
2026-04-10 09:58:58,7.6,37.0,1142.07,27.65,4.6339,0
2026-04-10 09:59:00,7.75,25.13,1114.26,26.3,4.2436,0
2026-04-10 09:59:02,7.97,27.19,1159.55,26.07,4.1769,0
2026-04-10 09:59:04,7.64,26.69,1307.78,27.93,4.3775,0
2026-04-10 09:59:06,7.48,21.77,1314.13,26.22,5.6025,0
2026-04-10 09:59:08,7.7,31.47,1360.57,28.59,4.5923,0
2026-04-10 09:59:10,7.81,32.97,1275.65,25.59,4.1923,0
2026-04-10 09:59:12,7.75,30.04,1191.21,27.72,3.2385,0
2026-04-10 09:59:14,7.7,32.32,1084.02,26.55,3.9884,0
2026-04-10 09:59:16,7.79,32.36,1125.91,27.92,3.7846,0
2026-04-10 09:59:18,7.44,29.07,1217.79,25.02,5.0273,0
2026-04-10 09:59:20,7.89,33.51,1252.5,27.24,3.6308,0
2026-04-10 09:59:22,7.81,36.65,1321.47,27.46,4.3112,0
2026-04-10 09:59:24,7.89,40.88,1216.93,27.02,4.5778,0
2026-04-10 09:59:26,8.17,34.58,1152.7,25.82,5.2332,0
2026-04-10 09:59:28,7.85,29.03,974.89,28.0,4.7848,0
2026-04-10 09:59:30,8.2,33.02,1252.59,27.59,4.7061,0
2026-04-10 09:59:32,7.82,33.26,1187.88,28.04,3.7299,0
2026-04-10 09:59:34,7.94,36.37,1203.68,27.38,4.0410,0
2026-04-10 09:59:36,7.63,27.66,1211.6,26.06,3.9256,0
2026-04-10 09:59:38,7.53,30.52,1040.55,25.88,4.9017,0
2026-04-10 09:59:40,7.96,29.92,1213.87,24.96,4.4213,0
2026-04-10 09:59:42,7.83,37.31,1241.5,24.11,5.9134,0
2026-04-10 09:59:44,7.83,32.08,1228.67,26.05,3.6450,0
2026-04-10 09:59:46,7.54,28.1,1305.37,27.29,4.1573,0
2026-04-10 09:59:48,7.76,16.83,1158.79,26.61,5.4428,0
2026-04-10 09:59:50,7.58,27.78,1334.85,26.08,4.5751,0
2026-04-10 09:59:52,7.92,33.6,1337.68,27.09,4.0390,0
2026-04-10 09:59:54,7.55,42.12,1228.64,26.3,5.5417,0
2026-04-10 09:59:56,7.93,26.37,1131.56,27.14,3.8499,0
2026-04-10 09:59:58,7.52,25.53,1405.18,27.89,5.3843,0
2026-04-10 10:00:00,7.53,28.78,1192.37,29.31,4.8684,0
2026-04-10 10:00:02,7.39,29.6,1148.84,27.65,4.4353,0
2026-04-10 10:00:04,7.78,28.79,1153.14,26.83,3.2481,0
2026-04-10 10:00:06,8.01,35.58,1351.8,27.63,4.8932,0
2026-04-10 10:00:08,7.77,34.94,1396.12,28.74,5.1935,0
2026-04-10 10:00:10,7.92,31.64,1248.51,26.62,3.5578,0
2026-04-10 10:00:12,7.62,26.45,1420.58,27.69,4.9285,0
2026-04-10 10:00:14,7.88,25.38,1019.53,27.47,4.7149,0
2026-04-10 10:00:16,7.98,34.07,1117.25,25.99,4.5950,0
2026-04-10 10:00:18,7.96,25.66,1261.5,28.51,4.6581,0
2026-04-10 10:00:20,7.65,34.44,1404.13,27.34,4.6887,0
2026-04-10 10:00:22,7.55,21.54,1159.49,26.78,4.8866,0
2026-04-10 10:00:24,7.57,33.53,1304.56,27.22,4.1839,0
2026-04-10 10:00:26,7.64,31.3,1128.36,26.91,3.6066,0
2026-04-10 10:00:28,7.73,35.24,1145.2,26.92,3.8060,0
2026-04-10 10:00:30,8.1,29.45,1208.08,28.13,4.2150,0
2026-04-10 10:00:32,7.89,33.26,1161.38,26.96,3.5280,0
2026-04-10 10:00:34,8.13,32.35,1390.15,24.32,6.5904,0
2026-04-10 10:00:36,7.58,34.87,1272.37,24.83,5.4509,0
2026-04-10 10:00:38,8.1,33.54,1390.44,26.45,5.1185,0
2026-04-10 10:00:40,7.84,25.4,1202.51,27.06,3.4574,0
2026-04-10 10:00:42,7.54,33.13,1212.52,27.54,3.9820,0
2026-04-10 10:00:44,7.76,34.89,1337.8,27.21,4.0709,0
2026-04-10 10:00:46,7.56,38.0,1062.19,26.75,5.1792,0
2026-04-10 10:00:48,7.98,30.93,1368.01,26.45,4.2918,0
2026-04-10 10:00:50,7.93,31.59,1164.09,28.56,4.1463,0
2026-04-10 10:00:52,7.81,27.48,1221.46,26.25,3.5397,0
2026-04-10 10:00:54,7.77,26.8,1043.8,27.58,4.2551,0
2026-04-10 10:00:56,7.6,30.48,1501.29,26.42,5.1474,0
2026-04-10 10:00:58,7.76,24.6,1241.68,27.59,3.9418,0
2026-04-10 10:01:00,7.77,22.93,1200.77,25.21,4.8529,0
2026-04-10 10:01:02,7.73,29.43,1081.6,26.71,3.6847,0
2026-04-10 10:01:04,7.53,29.47,1338.05,26.98,4.1056,0
2026-04-10 10:01:06,7.87,30.8,1146.77,25.77,3.8921,0
2026-04-10 10:01:08,7.51,28.14,1213.53,26.45,4.0141,0
2026-04-10 10:01:10,7.87,25.98,1184.91,26.37,3.8068,0
2026-04-10 10:01:12,7.92,26.36,1364.92,27.58,4.4448,0
2026-04-10 10:01:14,7.74,36.01,1240.77,28.31,4.4116,0
2026-04-10 10:01:16,8.05,35.05,1096.12,25.41,5.4217,0
2026-04-10 10:01:18,7.55,37.12,1224.34,25.84,4.9769,0
2026-04-10 10:01:20,7.8,28.55,1039.06,27.2,3.8498,0
2026-04-10 10:01:22,7.88,44.79,1158.13,26.06,5.7576,0
2026-04-10 10:01:24,7.55,30.84,1125.83,25.01,4.9638,0
2026-04-10 10:01:26,7.49,24.03,1321.04,27.83,5.1955,0
2026-04-10 10:01:28,8.06,23.87,1210.38,27.42,4.4471,0
2026-04-10 10:01:30,7.46,31.35,1357.54,26.98,4.4769,0
2026-04-10 10:01:32,7.5,35.28,1118.62,27.64,4.7897,0
2026-04-10 10:01:34,7.85,32.77,1315.41,27.86,4.0259,0
2026-04-10 10:01:36,7.82,30.02,1056.26,29.54,4.9505,0
2026-04-10 10:01:38,7.81,35.02,1192.36,26.35,3.7732,0
2026-04-10 10:01:40,7.6,35.88,1117.84,26.22,4.7224,0
2026-04-10 10:01:46,7.59,39.36,1164.07,25.88,5.2594,0
2026-04-10 10:01:48,7.99,20.72,1270.68,26.7,5.0216,0
2026-04-10 10:01:50,7.8,31.23,1059.34,27.05,3.6016,0
2026-04-10 10:09:58,8.14,31.56,1122.9,24.89,5.4970,0
2026-04-10 10:10:00,7.63,22.06,1156.63,26.15,4.8728,0
2026-04-10 10:10:02,7.96,31.04,1133.44,26.46,3.8006,0
2026-04-10 10:10:04,7.6,34.23,1332.11,26.89,4.3072,0
