timestamp,ph,tds,turbidity,temp,status,seal
2026-04-10 09:58:26,7.57,1221.34,25.34,27.41,0,adb1dcf4bc66b1d718891e17ed55ce8f181edab1e327719cd020d02434ed78df
2026-04-10 09:58:28,7.53,1159.42,31.25,26.58,0,6bfbbcab7c3fa48f91f4d862a29e96edfabc38c36995434876b8fcb79f1046fd
2026-04-10 09:58:30,7.84,1194.22,33.09,27.3,0,b65bdc463d23e1e168e80c7c597f2dc888dedba3237dee8790f5c9f247c596a2
2026-04-10 09:58:32,8.0,1256.35,36.42,28.22,0,823e9a64d08fc13bc6e19c00a0435a609cfc826938a601fd8f7cd97e9414b3a6
2026-04-10 09:58:34,7.68,1050.27,32.07,26.4,0,f6d8782f4d9044a178c899f2b69c783fd42bbcf8554cfc274c7ba5e4b52e7e5a
2026-04-10 09:58:36,7.77,1225.82,39.62,27.38,0,6b8dfed26a563e4576c214a8276ab34510848d316c0c9b45522df7f99a34d987
2026-04-10 09:58:38,8.02,1152.09,33.89,25.2,0,f78e2b77b3edf2dabbda12835958e3c32da7f8b97fade5fb67989dbf1b4a218a
2026-04-10 09:58:40,8.3,1351.17,29.96,25.68,0,1fa3b345697e0868cd000870bfbdffa3e261d32faac4be3cb91d8dcf568fa854
2026-04-10 09:58:42,7.81,1114.94,27.59,27.78,0,f029e51d655271b1cce656448ab73e7558d3f9fef1619f71255969eba9023012
2026-04-10 09:58:44,7.56,1317.99,25.8,27.09,0,43dd28ad6b5d8137da50591e41f0697947b0217dbcfec7748578e359cde43140
2026-04-10 09:58:48,8.2,1411.72,28.37,26.73,0,e9123895ab5819e2442cd2e4cb318cbae356ee6d6758a8e0b86af4287ac717b5
2026-04-10 09:58:50,7.85,1249.92,24.69,27.97,0,9e3e9973469399405f1cad0dd0ddd291e3cc5a888985021867f9db3b882f6361
2026-04-10 09:58:52,7.7,1177.89,27.25,26.6,0,cc878bbc100dee4bd612833191e90bcd26cf820428e596d9a737e55395eeeb4f
2026-04-10 09:58:54,7.86,1202.1,24.31,27.24,0,5e713072937dc89509b64825de552cf49aa21795f6e4ba805f74172aebb7c9a0
2026-04-10 09:58:56,7.97,1298.77,35.19,27.17,0,7b06e367c39dcdabbe395e9bf87c5ea11dc39c9060d17aff8a3785469baf6bb9
2026-04-10 09:58:58,7.6,1142.07,37.0,27.65,0,876ef253718f931c70c21efd7e829a0799fc83921f032179e186585c81e0247d
2026-04-10 09:59:00,7.75,1114.26,25.13,26.3,0,54e1689e4b882a86f040e01fabd15428eb1d69e30a735f88d1f0e1bdb6434dbe
2026-04-10 09:59:02,7.97,1159.55,27.19,26.07,0,c4d695555daafbdb8d31e49491d43b3226a8d533cf7086a36853df1178fa5117
